Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Cost of Revenue";"Gross Profit";"Operating Expenses";"Selling, General & Administrative";"Research & Development";"Depreciation & Amortization";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Interest Expense, Net";"Pretax Income (Loss), Adj.";"Abnormal Gains (Losses)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
A;45846;USD;2016;FY;2016-10-31;2016-12-20;2018-12-20;326000000;329000000;4202000000;-2005000000;2197000000;-1582000000;-1253000000;-329000000;;615000000;-71000000;-61000000;544000000;;544000000;-82000000;462000000;;462000000;462000000
A;45846;USD;2017;FY;2017-10-31;2017-12-21;2018-12-20;322000000;326000000;4472000000;-2063000000;2409000000;-1568000000;-1229000000;-339000000;;841000000;-38000000;-57000000;803000000;;803000000;-119000000;684000000;;684000000;684000000
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;4914000000;-2234000000;2680000000;-1776000000;-1389000000;-387000000;;904000000;42000000;-37000000;946000000;;946000000;-630000000;316000000;;316000000;316000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;5163000000;-2358000000;2805000000;-1864000000;-1460000000;-404000000;;941000000;-22000000;-38000000;919000000;;919000000;152000000;1071000000;;1071000000;1071000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2021-12-17;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;;;284367000;-284462000;-95000;-1858519000;-689379000;-1169140000;;-1858614000;-132835000;-4036000;-1991449000;-426425000;-2417874000;;-2417874000;;-2321145000;-3281607000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2022-04-19;;;9456609000;-7907270000;1549339000;-2218676000;-1118819000;-1099857000;;-669337000;208133000;188000000;-461204000;272327000;-188877000;22847000;-166030000;;-140795000;-791985000
AA;367153;USD;2016;FY;2016-12-31;2017-02-03;2019-02-26;183000000;183000000;9318000000;-7877000000;1441000000;-1107000000;-356000000;-33000000;-718000000;334000000;-178000000;-243000000;156000000;-318000000;-162000000;-184000000;-346000000;;-400000000;-400000000
AA;367153;USD;2017;FY;2017-12-31;2018-02-26;2019-02-26;184000000;187000000;11652000000;-8991000000;2661000000;-1062000000;-280000000;-32000000;-750000000;1599000000;-131000000;-104000000;1468000000;-309000000;1159000000;-600000000;559000000;;217000000;217000000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;13403000000;-10053000000;3350000000;-1012000000;-248000000;-31000000;-733000000;2338000000;-186000000;-122000000;2152000000;-527000000;1625000000;-732000000;893000000;;250000000;250000000
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;10433000000;-8537000000;1896000000;-1020000000;-280000000;-27000000;-713000000;876000000;-283000000;-121000000;593000000;-1031000000;-438000000;-415000000;-853000000;;-1125000000;-1125000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2022-02-24;186000000;186000000;9286000000;-7969000000;1317000000;-886000000;-206000000;-27000000;-653000000;431000000;-154000000;-146000000;277000000;-104000000;173000000;-187000000;-14000000;;-170000000;-170000000
AAC_delist;939324;USD;2016;FY;2016-12-31;2017-03-07;2019-04-15;22718117;22718117;279770000;-165519000;114251000;-127968000;-18275000;;-17686000;-13717000;-7675000;-8175000;-21392000;-2633000;-24025000;-2345000;-26370000;;-21218000;-21218000
AAL;68568;USD;2016;FY;2016-12-31;2017-02-22;2017-02-22;552308000;556099000;40180000000;-26814000000;13366000000;-8082000000;-1323000000;;-1525000000;5284000000;-985000000;-928000000;4299000000;;4299000000;-1623000000;2676000000;;2676000000;2676000000
AAL;68568;USD;2017;FY;2017-12-31;2018-02-21;2019-02-25;489164000;491692000;42622000000;-29590000000;13032000000;-8801000000;-1477000000;;-1702000000;4231000000;-836000000;-959000000;3395000000;;3395000000;-2113000000;1282000000;;1282000000;1282000000
AAL;68568;USD;2018;FY;2018-12-31;2019-02-25;2021-02-17;464236000;465660000;44541000000;-20400000000;24141000000;-21485000000;-1520000000;;-1839000000;2656000000;-772000000;-938000000;1884000000;;1884000000;-472000000;1412000000;;1412000000;1412000000
AAL;68568;USD;2019;FY;2019-12-31;2020-02-19;2022-02-22;443363000;444269000;45768000000;-32654000000;13114000000;-10049000000;-2004000000;;-1982000000;3065000000;-809000000;-968000000;2256000000;;2256000000;-570000000;1686000000;;1686000000;1686000000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2022-02-22;483888000;483888000;17337000000;-22523000000;-5186000000;-5235000000;-666000000;;-2040000000;-10421000000;-1032000000;-1186000000;-11453000000;;-11453000000;2568000000;-8885000000;;-8885000000;-8885000000
AAMC;847094;USD;2016;FY;2016-12-31;2017-03-01;2018-03-01;1752302;1752302;19991000;;;-24314000;-4772000;;0;-4323000;1094000;0;-3229000;0;-3229000;-1706000;-4935000;;-4935000;-5142000
AAMC;847094;USD;2017;FY;2017-12-31;2018-03-01;2018-03-01;1570428;1570428;18160000;;;-25507000;-3320000;;0;-7347000;1086000;0;-6261000;0;-6261000;-708000;-6969000;;-6969000;-7175000
AAMC;847094;USD;2018;FY;2018-12-31;2019-04-30;2019-04-30;1611424;1611424;15926000;;;-22534000;-3609000;;;-6608000;-3893000;;-10501000;;-10501000;-375000;-10876000;;-10876000;-11082000
AAMC;847094;USD;2019;FY;2019-12-31;2020-04-29;2021-03-03;1589952;1589952;;;;-17145000;-2334000;;;-17145000;6753000;;-10392000;;-10392000;-165000;-10557000;7944000;-2613000;-2819000
AAMC;847094;USD;2020;FY;2020-12-31;2021-03-03;2022-03-31;1631326;1631326;;;;-20510000;-2328000;;;-20510000;6559000;;-13951000;;-13951000;-769000;-14720000;54541000;39821000;39779000
AAN;441241;USD;2016;FY;2016-12-31;2017-02-24;2017-02-24;72354000;73013000;3207716000;-1599483000;1608233000;-1345339000;;;;262894000;-24254000;-20691000;238640000;-20218000;218422000;-79139000;139283000;;139283000;139283000
AAN;441241;USD;2017;FY;2017-12-31;2018-03-01;2019-02-14;70837000;72121000;3383708000;-1707565000;1676143000;-1403450000;;;;272693000;-15122000;-18703000;257571000;-17994000;239577000;52959000;292536000;;292536000;292536000
AAN;441241;USD;2018;FY;2018-12-31;2019-02-14;2021-02-23;69128000;70597000;1794716000;-708154000;1086562000;-913870000;-482712000;;;172692000;-17306000;-16440000;155386000;-91818000;63568000;-12915000;50653000;;50653000;50653000
AAN;441241;USD;2019;FY;2019-12-31;2020-04-27;2022-02-24;67322000;68631000;1784477000;-672461000;1112016000;-926767000;-499993000;;;185249000;-13086000;-16967000;172163000;-137893000;34270000;-6171000;28099000;;28099000;28099000
AAN;441241;USD;2020;FY;2020-12-31;2021-01-26;2022-02-24;33877000;33877000;1734919000;-651377000;1083542000;-908317000;-476575000;;;175225000;-7697000;-10006000;167528000;-565342000;-397814000;131902000;-265912000;;-265912000;-265912000
AAOI;671827;USD;2016;FY;2016-12-31;2017-03-09;2018-02-28;17201731;17712928;260713000;-173759000;86954000;-63934000;-32154000;-31780000;;23020000;-2017000;-1470000;21003000;;21003000;10231000;31234000;;31234000;31234000
AAOI;671827;USD;2017;FY;2017-12-31;2018-02-28;2018-02-28;19097355;20139105;382329000;-216049000;166280000;-79329000;-43964000;-35365000;;86951000;-2425000;-637000;84526000;;84526000;-10575000;73951000;;73951000;73951000
AAOI;671827;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;19647000;19647000;267465000;-179692000;87773000;-98541000;-48638000;-49903000;;-10768000;990000;-824000;-9778000;;-9778000;7632000;-2146000;;-2146000;-2146000
AAOI;671827;USD;2019;FY;2019-12-31;2020-02-28;2022-02-24;19982363;19982363;190872000;-144671000;46201000;-94948000;-51549000;-43399000;;-48747000;-2640000;-4480000;-51387000;;-51387000;-14662000;-66049000;;-66049000;-66049000
AAOI;671827;USD;2020;FY;2020-12-31;2021-02-25;2022-02-24;21866630;21866630;234623000;-184082000;50541000;-99383000;-55990000;-43393000;;-48842000;-2382000;-5380000;-51224000;;-51224000;-7228000;-58452000;;-58452000;-58452000
AAON;919501;USD;2016;FY;2016-12-31;2017-02-23;2019-02-28;52924398;53449754;383977000;-265897000;118080000;-38506000;-38506000;;;79574000;397000;292000;79971000;20000;79991000;-26615000;53376000;;53376000;53376000
AAON;919501;USD;2017;FY;2017-12-31;2018-02-27;2019-02-28;52572496;53078734;405232000;-281835000;123397000;-49249000;-49249000;;;74148000;389000;298000;74537000;-45000;74492000;-19994000;54498000;;54498000;54498000
AAON;919501;USD;2018;FY;2018-12-31;2019-02-28;2021-02-25;52284616;52667939;433947000;-330414000;103533000;-48194000;-48194000;;;55339000;149000;196000;55488000;12000;55500000;-13171000;42329000;;42329000;42329000
AAON;919501;USD;2019;FY;2019-12-31;2020-02-27;2022-02-28;52079865;52635415;469333000;-349908000;119425000;-52077000;-52077000;;;67348000;20000;66000;67368000;-337000;67031000;-13320000;53711000;;53711000;53711000
AAON;919501;USD;2020;FY;2020-12-31;2021-02-25;2022-02-28;52168679;53061169;514551000;-358702000;155849000;-60491000;-60491000;;;95358000;139000;88000;95497000;6478000;101975000;-22966000;79009000;;79009000;79009000
AAP;184955;USD;2016;FY;2016-12-31;2017-02-28;2019-02-19;73562000;73856000;9567679000;-5311764000;4255915000;-3468317000;-3468317000;;;787598000;-48763000;-59910000;738835000;;738835000;-279213000;459622000;;459622000;459622000
AAP;184955;USD;2017;FY;2017-12-31;2018-02-21;2020-02-18;73846000;74110000;9373784000;-5288735000;4085049000;-3514837000;-3514837000;;;570212000;-49953000;-58801000;520259000;;520259000;-44754000;475505000;;475505000;475505000
AAP;184955;USD;2018;FY;2018-12-31;2019-02-19;2021-02-22;73728000;73991000;9580554000;-5361141000;4219413000;-3615138000;-3615138000;;;604275000;-49011000;-56588000;555264000;;555264000;-131417000;423847000;;423847000;423847000
AAP;184955;USD;2019;FY;2019-12-31;2020-02-18;2022-02-15;70869000;71165000;9709003000;-5454257000;4254746000;-3577566000;-3577566000;;;677180000;-28678000;-39898000;648502000;-10756000;637746000;-150850000;486896000;;486896000;486896000
AAP;184955;USD;2020;FY;2020-12-31;2021-02-22;2022-02-15;68748000;69003000;10106321000;-5624707000;4481614000;-3731707000;-3731707000;;;749907000;-50870000;-46886000;699037000;-48022000;651015000;-157994000;493021000;;493021000;493021000
AAPL;111052;USD;2016;FY;2016-09-30;2016-10-26;2018-11-05;21883280000;22001124000;215639000000;-131376000000;84263000000;-24239000000;-14194000000;-10045000000;;60024000000;1348000000;;61372000000;;61372000000;-15685000000;45687000000;;45687000000;45687000000
AAPL;111052;USD;2017;FY;2017-09-30;2017-11-03;2019-10-31;20868968000;21006768000;229234000000;-141048000000;88186000000;-26842000000;-15261000000;-11581000000;;61344000000;2745000000;;64089000000;;64089000000;-15738000000;48351000000;;48351000000;48351000000
AAPL;111052;USD;2018;FY;2018-09-30;2018-11-05;2020-10-30;19821508000;20000436000;265595000000;-163756000000;101839000000;-30941000000;-16705000000;-14236000000;;70898000000;2005000000;;72903000000;;72903000000;-13372000000;59531000000;;59531000000;59531000000
AAPL;111052;USD;2019;FY;2019-09-30;2019-10-31;2021-10-29;18471336000;18595652000;260174000000;-161782000000;98392000000;-34462000000;-18245000000;-16217000000;;63930000000;1807000000;;65737000000;;65737000000;-10481000000;55256000000;;55256000000;55256000000
AAPL;111052;USD;2020;FY;2020-09-30;2020-10-30;2021-10-29;17352119000;17528214000;274515000000;-169559000000;104956000000;-38668000000;-19916000000;-18752000000;;66288000000;803000000;;67091000000;;67091000000;-9680000000;57411000000;;57411000000;57411000000
AAWW;762204;USD;2016;FY;2016-12-31;2017-02-23;2019-02-19;24843000;25120000;1839627000;-905551000;934076000;-419357000;;;-148876000;514719000;-75875000;-79118000;438844000;-349428000;89416000;-46791000;42625000;-1109000;41516000;41516000
AAWW;762204;USD;2017;FY;2017-12-31;2018-02-22;2019-02-19;25241000;25854000;2156460000;-1062797000;1093663000;-480055000;;;-166713000;613608000;-85902000;-93678000;527706000;-384334000;143372000;80966000;224338000;-865000;223473000;223473000
AAWW;762204;USD;2018;FY;2018-12-31;2019-02-19;2021-02-18;25542000;28281000;2677724000;-1362989000;1314735000;-741824000;;;-217340000;572911000;-97282000;-112668000;475629000;-166255000;309374000;-38727000;270647000;-80000;270567000;270567000
AAWW;762204;USD;2019;FY;2019-12-31;2020-04-28;2022-02-17;25828000;25828000;2739189000;-1465339000;1273850000;-811468000;;;-251097000;462382000;-86092000;-116034000;376290000;-849048000;-472758000;179645000;-293113000;;-293113000;-293113000
AAWW;762204;USD;2020;FY;2020-12-31;2021-02-18;2022-02-17;26408000;26690000;3211116000;-1684909000;1526207000;-725713000;;;-257672000;800494000;73108000;-113559000;873602000;-376860000;496742000;-136456000;360286000;;360286000;360286000
ABAX;36105;USD;2016;FY;2017-03-31;2017-07-28;2018-05-30;22515000;22797000;227220000;-101375000;125845000;-81358000;-61563000;-19795000;;44487000;6625000;;51112000;;51112000;-18333000;32779000;-63000;32716000;32716000
ABAX;36105;USD;2017;FY;2018-03-31;2018-07-30;2018-07-30;22672000;23135000;244700000;-111091000;133609000;-94954000;-71622000;-23332000;;38655000;4745000;;43400000;;43400000;-16223000;27177000;0;27177000;27177000
ABBV;61199;USD;2016;FY;2016-12-31;2017-02-17;2018-02-16;1622000000;1631000000;25638000000;-5833000000;19805000000;-10221000000;-5855000000;-4366000000;;9584000000;-1500000000;-965000000;8084000000;-200000000;7884000000;-1931000000;5953000000;;5953000000;5953000000
ABBV;61199;USD;2017;FY;2017-12-31;2018-02-16;2019-02-27;1596000000;1603000000;28216000000;-7042000000;21174000000;-11302000000;-6295000000;-5007000000;;9872000000;-1818000000;-1004000000;8054000000;-327000000;7727000000;-2418000000;5309000000;;5309000000;5309000000
ABBV;61199;USD;2018;FY;2018-12-31;2019-02-27;2021-02-19;1541000000;1546000000;32753000000;-7718000000;25035000000;-18228000000;-7399000000;-10329000000;;6807000000;-1186000000;-1144000000;5621000000;-424000000;5197000000;490000000;5687000000;;5687000000;5687000000
ABBV;61199;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1481000000;1484000000;33266000000;-7439000000;25827000000;-12459000000;-6942000000;-6407000000;;13368000000;-4557000000;-1509000000;8811000000;-385000000;8426000000;-544000000;7882000000;;7882000000;7882000000
ABBV;61199;USD;2020;FY;2020-12-31;2021-02-19;2022-02-18;1667000000;1673000000;45804000000;-15387000000;30417000000;-17856000000;-11299000000;-6557000000;;12561000000;-7965000000;-2280000000;4596000000;-1198000000;3398000000;1224000000;4622000000;;4616000000;4616000000
ABC;187024;USD;2016;FY;2016-09-30;2016-11-22;2018-11-20;212206000;225959000;146849686000;-142577080000;4272606000;-2596314000;-2091237000;;-364735000;1676292000;-134864000;-139912000;1541428000;-150518000;1390910000;37019000;1427929000;;1427929000;1427929000
ABC;187024;USD;2017;FY;2017-09-30;2017-11-21;2018-11-20;218375000;221602000;153143826000;-148597824000;4546002000;-2526333000;-2128730000;;-397603000;2019669000;-142455000;-145185000;1877214000;-959327000;917887000;-553403000;364484000;;364484000;364484000
ABC;187024;USD;2018;FY;2018-09-30;2018-11-20;2020-11-19;217872000;220336000;167939635000;-163327318000;4612317000;-2925428000;-2460301000;;-465127000;1686889000;-200168000;-174699000;1486721000;-309298000;1177423000;438469000;1615892000;;1658405000;1658405000
ABC;187024;USD;2019;FY;2019-09-30;2019-11-19;2021-11-23;210165000;211840000;179589121000;-174450809000;5138312000;-3125915000;-2663508000;;-462407000;2012397000;-144817000;-157769000;1867580000;-900474000;967106000;-112971000;854135000;;855365000;855365000
ABC;187024;USD;2020;FY;2020-09-30;2020-11-19;2021-11-23;204783000;204783000;189893926000;-184702042000;5191884000;-3158279000;-2767217000;;-391062000;2033605000;-136302000;-137883000;1897303000;-7191134000;-5293831000;1894273000;-3399558000;;-3408716000;-3408716000
ABCD;358762;USD;2016;FY;2016-12-31;2017-03-14;2017-03-14;45861000;47217000;152358000;-48264000;104094000;-84571000;-68300000;-12865000;-3406000;19523000;-7190000;-7190000;12333000;-1610000;10723000;-293000;10430000;;10430000;10430000
ABCD;358762;USD;2017;FY;2017-12-31;2018-03-07;2018-03-07;46416000;47594000;158184000;-45534000;112650000;-86538000;-70090000;-13651000;-2797000;26112000;-4845000;-4845000;21267000;-5510000;15757000;29298000;45055000;;45055000;45055000
ABCL;1250893;USD;2019;FY;2019-12-31;2020-03-29;2022-02-25;152091589;226039616;11612000;;;-15729000;-4012000;-10113000;-1604000;-4117000;1906000;-54000;-2211000;;-2211000;;-2211000;;-2211000;-2211000
ABCL;1250893;USD;2020;FY;2020-12-31;2021-02-10;2022-02-25;152413300;237723530;233155000;-27143000;206012000;-49981000;-15752000;-29393000;-4836000;156031000;1802000;-6218000;157833000;;157833000;-38915000;118918000;;118918000;118918000
ABEO;953884;USD;2018;FY;2018-12-31;2019-03-18;2020-03-16;1901130;1901130;2998000;;;-61164000;-20106000;-38698000;-2360000;-58166000;1495000;1495000;-56671000;;-56671000;;-56671000;;-56671000;-56671000
ABEO;953884;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;2014184;2014184;;;;-77090000;-20705000;-48566000;-7819000;-77090000;808000;808000;-76282000;;-76282000;;-76282000;;-76282000;-76282000
ABEO;953884;USD;2020;FY;2020-12-31;2021-03-24;2022-03-31;3706543;3706543;10000000000;;;-58504000000;-23779000000;-30139000000;-4586000000;-48504000000;-2814000000;-2814000000;-51318000000;-32916000000;-84234000000;;-84234000000;;-84234000000;-84234000000
ABG;545489;USD;2016;FY;2016-12-31;2017-02-23;2019-02-28;22500000;22600000;6527800000;-5469100000;1058700000;-760900000;-732500000;;-30700000;297800000;-75500000;-75500000;222300000;45500000;267800000;-100600000;167200000;;167200000;167200000
ABG;545489;USD;2017;FY;2017-12-31;2018-02-27;2019-02-28;20800000;21000000;6456500000;-5400600000;1055900000;-768200000;-729700000;;-32100000;287700000;-78600000;-78600000;209100000;0;209100000;-70000000;139100000;;139100000;139100000
ABG;545489;USD;2018;FY;2018-12-31;2019-02-28;2021-03-01;20100000;20300000;6874400000;-5771400000;1103000000;-792100000;-755800000;;-33700000;310900000;-86100000;-86100000;224800000;;224800000;-56800000;168000000;;168000000;168000000
ABG;545489;USD;2019;FY;2019-12-31;2020-03-02;2022-03-01;19100000;19300000;7210300000;-6041400000;1168900000;-836800000;-799800000;;-36200000;332100000;-92800000;-92800000;239300000;4600000;243900000;-59500000;184400000;;184400000;184400000
ABG;545489;USD;2020;FY;2020-12-31;2021-01-26;2022-03-01;19200000;19300000;7131800000;-5908400000;1223400000;-829600000;-781900000;;-38500000;393800000;-74400000;-74400000;319400000;18700000;338100000;-83700000;254400000;;254400000;254400000
ABIO;953886;USD;2016;FY;2016-12-31;2017-03-21;2018-03-22;504150;504150;;;;-16613000;-4265000;-12348000;;-16613000;169000;169000;-16444000;;-16444000;;-16444000;;-16444000;-16444000
ABIO;953886;USD;2017;FY;2017-12-31;2018-03-22;2019-02-27;579985;579985;;;;-18712000;-4636000;-14076000;;-18712000;161000;161000;-18551000;;-18551000;61000;-18490000;;-18490000;-18490000
ABIO;953886;USD;2018;FY;2018-12-31;2019-02-27;2020-02-18;769392;769392;;;;-8118000;-3879000;-4239000;;-8118000;154000;154000;-7964000;;-7964000;31000;-7933000;;-7933000;-7933000
ABIO;953886;USD;2019;FY;2019-12-31;2020-02-18;2021-03-18;1321234;1321234;;;;-5814000;-3981000;-1833000;;-5814000;165000;165000;-5649000;;-5649000;167000;-5482000;;-5482000;-5482000
ABIO;953886;USD;2020;FY;2020-12-31;2021-03-18;2022-03-14;4710237;4710237;;;;-9766000;-4774000;-4992000;;-9766000;19000;19000;-9747000;;-9747000;9000;-9738000;;-9738000;-9738000
ABM;199984;USD;2016;FY;2016-10-31;2016-12-21;2017-12-22;56300000;56900000;5144700000;-4603400000;541300000;-464100000;-410100000;;-54000000;77200000;-2800000;-10400000;74400000;-22500000;51900000;10400000;62300000;-5100000;57200000;57200000
ABM;199984;USD;2017;FY;2017-10-31;2017-12-22;2017-12-22;57700000;58300000;5453600000;-4881200000;572400000;-489100000;-436600000;;-52500000;83300000;-15000000;-19200000;68300000;18500000;86800000;-8800000;78000000;-74300000;3700000;3700000
ABM;199984;USD;2018;FY;2018-10-31;2018-12-21;2020-12-17;66100000;66400000;6442200000;-5747400000;694800000;-556200000;-438000000;;-118200000;138600000;-50900000;-54100000;87700000;;87700000;8200000;95900000;1900000;97800000;97800000
ABM;199984;USD;2019;FY;2019-10-31;2019-12-20;2021-12-22;66600000;66900000;6498600000;-5767500000;731100000;-511400000;-452900000;;-58500000;219700000;-48100000;-51100000;171600000;-11200000;160400000;-32700000;127700000;-100000;127600000;127600000
ABM;199984;USD;2020;FY;2020-10-31;2020-12-17;2021-12-22;66900000;67300000;5987600000;-5157000000;830600000;-554500000;-506100000;;-48400000;276100000;-42400000;-44600000;233700000;-180400000;53300000;-53100000;200000;100000;300000;300000
ABMC;160965;USD;2016;FY;2016-12-31;2017-03-31;2018-04-12;27463265;27463265;5609000;-3119000;2490000;-2747000;-2563000;-184000;;-257000;-84000;-284000;-341000;;-341000;-4000;-345000;;-345000;-345000
ABMC;160965;USD;2017;FY;2017-12-31;2018-04-12;2018-04-12;29211454;29211454;4914000;-2917000;1997000;-2308000;-2191000;-117000;;-311000;-234000;-272000;-545000;;-545000;0;-545000;;-545000;-545000
ABMC;160965;USD;2018;FY;2018-12-31;2019-04-16;2019-04-16;30115063;30115063;3872000;-2584000;1288000;-2050000;-1957000;-93000;;-762000;-266000;-285000;-1028000;;-1028000;-2000;-1030000;;-1030000;-1030000
ABMC;160965;USD;2019;FY;2019-12-31;2020-07-24;2021-04-15;32526669;32526669;3655000;-2471000;1184000;-1777000;-1695000;-82000;;-593000;-93000;-265000;-686000;;-686000;5000;-681000;;-681000;-681000
ABMC;160965;USD;2020;FY;2020-12-31;2021-04-15;2022-04-15;38859032;38859032;4147000;-2909000;1238000;-1859000;-1769000;-90000;;-621000;-173000;-175000;-794000;0;-794000;-2000;-796000;;-796000;-796000
ABMD;445587;USD;2016;FY;2017-03-31;2017-05-25;2018-05-24;43238000;44658000;445304000;-70627000;374677000;-284539000;-218153000;-66386000;;90138000;1205000;;91343000;;91343000;-39227000;52116000;;52116000;52116000
ABMD;445587;USD;2017;FY;2018-03-31;2018-05-24;2018-05-24;44153000;45849000;593749000;-98581000;495168000;-338031000;-262734000;-75297000;;157137000;3300000;;160437000;;160437000;-48267000;112170000;;112170000;112170000
ABMD;445587;USD;2018;FY;2019-03-31;2019-05-23;2021-05-21;44911000;46151000;769432000;-129567000;639865000;-415053000;-321550000;-93503000;;224812000;38548000;;263360000;;263360000;-4344000;259016000;;259016000;259016000
ABMD;445587;USD;2019;FY;2020-03-31;2020-05-21;2022-05-20;45179000;45816000;840883000;-151305000;689578000;-440359000;-341600000;-98759000;;249219000;7606000;;256825000;;256825000;-53816000;203009000;;203009000;203009000
ABMD;445587;USD;2020;FY;2021-03-31;2021-05-21;2022-05-20;45140000;45674000;847522000;-161907000;685615000;-456058000;-334183000;-121875000;;229557000;58663000;;288220000;;288220000;-62695000;225525000;;225525000;225525000
ABNB;1214552;USD;2019;FY;2019-12-31;2020-02-26;2022-02-25;263013000;263013000;4805239000;-1196313000;3608926000;-4110469000;-2318700000;-976695000;;-501543000;89840000;75934000;-411703000;;-411703000;-262636000;-674339000;;-674339000;-674339000
ABNB;1214552;USD;2020;FY;2020-12-31;2021-02-05;2022-02-25;263726000;263726000;3378199000;-876042000;2502157000;-5940949000;-2310176000;-2752872000;;-3438792000;-1091791000;-144571000;-4530583000;-151355000;-4681938000;97222000;-4584716000;;-4584716000;-4584716000
ABR;638468;USD;2018;FY;2018-12-31;2019-02-15;2021-02-19;70208165;93642168;322920000;-110470000;212450000;-54958000;-37074000;;-7453000;159698000;1196000;;160894000;-3112000;157782000;-9731000;148051000;;115866000;108312000
ABR;638468;USD;2019;FY;2019-12-31;2020-01-30;2022-02-18;92851327;116192951;350170000;-122102000;228068000;-58059000;-40329000;;-7510000;171187000;10635000;;181822000;-11548000;170274000;-15036000;155238000;;128628000;121074000
ABR;638468;USD;2020;FY;2020-12-31;2021-02-19;2022-02-18;113811471;133969296;488734000;-144380000;344354000;-49886000;-37348000;;-7640000;298577000;76161000;;374738000;-138188000;236550000;-40393000;196157000;;170949000;163395000
ABSI;1250894;USD;2020;FY;2020-12-31;2021-03-10;2022-03-22;15215747;15215747;4780000;;;-18081000;-5502000;-11448000;-1131000;-13301000;-1052000;-634000;-14353000;;-14353000;;-14353000;;-14353000;-49469000
ABT;63877;USD;2016;FY;2016-12-31;2017-02-17;2018-02-16;1477000000;1483000000;20853000000;-9024000000;11829000000;-8644000000;-6672000000;-1422000000;-550000000;3185000000;-1772000000;-332000000;1413000000;;1413000000;-350000000;1063000000;337000000;1400000000;1400000000
ABT;63877;USD;2017;FY;2017-12-31;2018-02-16;2019-02-22;1740000000;1749000000;27390000000;-12409000000;14981000000;-13417000000;-9182000000;-2260000000;-1975000000;1564000000;667000000;-780000000;2231000000;;2231000000;-1878000000;353000000;124000000;477000000;477000000
ABT;63877;USD;2018;FY;2018-12-31;2019-02-22;2021-02-19;1758000000;1770000000;30578000000;-12706000000;17872000000;-14222000000;-9744000000;-2300000000;-2178000000;3650000000;-610000000;-721000000;3040000000;-167000000;2873000000;-539000000;2334000000;34000000;2368000000;2368000000
ABT;63877;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1768000000;1781000000;31904000000;-13231000000;18673000000;-14141000000;-9765000000;-2440000000;-1936000000;4532000000;-392000000;-576000000;4140000000;-63000000;4077000000;-390000000;3687000000;;3687000000;3687000000
ABT;63877;USD;2020;FY;2020-12-31;2021-02-19;2022-02-18;1773000000;1786000000;34608000000;-15003000000;19605000000;-14248000000;-9696000000;-2420000000;-2132000000;5357000000;-389000000;-500000000;4968000000;;4968000000;-497000000;4471000000;24000000;4495000000;4495000000
ABTL;445589;USD;2016;FY;2016-12-31;2017-03-09;2018-03-15;10673015;13303209;156684000;-98771000;57913000;-51835000;-32781000;;-5068000;6078000;558000;;6636000;50000;6686000;-2815000;3871000;;3871000;3871000
ABTL;445589;USD;2017;FY;2017-12-31;2018-03-15;2018-03-15;11852539;11852539;142125000;-99352000;42773000;-43773000;-26425000;;-4781000;-1000000;-946000;;-1946000;-37579000;-39525000;-25439000;-64964000;;-64964000;-64964000
ABTL;445589;USD;2018;FY;2018-12-31;2019-03-11;2021-03-11;12756191;12756191;125589000;-110329000;15260000;-47231000;-28496000;;-4897000;-31971000;250000;-106000;-31721000;-7101000;-38822000;6000;-38816000;;-38816000;-38816000
ABTL;445589;USD;2019;FY;2019-12-31;2020-03-27;2021-03-11;13070898;13070898;113981000;-91412000;22569000;-37907000;-24687000;;-4371000;-15338000;119000;-410000;-15219000;;-15219000;-10000;-15229000;;-15229000;-15229000
ABTL;445589;USD;2020;FY;2020-12-31;2021-03-11;2022-03-24;13144314;13144314;76570000;-52890000;23680000;-29204000;-20919000;;-1711000;-5524000;-1286000;-1524000;-6810000;;-6810000;-10000;-6820000;;-6820000;-6820000
ABUS;953888;USD;2016;FY;2016-12-31;2017-03-22;2018-03-16;53074401;53074401;1491000;;;-101783000;-39438000;-61253000;-1092000;-100292000;2511000;1391000;-97781000;-391385000;-489166000;105002000;-384164000;;-384164000;-384164000
